epoch,run,train_loss,val_accuracy
0,mlp-lr0.01-bs128,0.45975554975344646,0.912
1,mlp-lr0.01-bs128,0.21414496394017074,0.939
2,mlp-lr0.01-bs128,0.15034718331197558,0.937
3,mlp-lr0.01-bs128,0.11207933844251682,0.9325
4,mlp-lr0.01-bs128,0.09764281702709016,0.938
5,mlp-lr0.01-bs128,0.09141265148468862,0.939
6,mlp-lr0.01-bs128,0.08546427256006958,0.9375
7,mlp-lr0.01-bs128,0.07646234348434845,0.945
8,mlp-lr0.01-bs128,0.06393679278980807,0.945
9,mlp-lr0.01-bs128,0.07249440182006604,0.938
10,mlp-lr0.01-bs128,0.06457531732062324,0.946
11,mlp-lr0.01-bs128,0.07689456546943312,0.937
12,mlp-lr0.01-bs128,0.0718501207742771,0.941
13,mlp-lr0.01-bs128,0.058982589699350454,0.949
14,mlp-lr0.01-bs128,0.055638913194314715,0.949
15,mlp-lr0.01-bs128,0.060732620408117166,0.9485
16,mlp-lr0.01-bs128,0.07080590943646266,0.947
17,mlp-lr0.01-bs128,0.05142665917603405,0.941
18,mlp-lr0.01-bs128,0.05566964902038812,0.951
19,mlp-lr0.01-bs128,0.053292716197673305,0.9425
0,mlp-lr0.01-bs32,0.38472342635988077,0.923
1,mlp-lr0.01-bs32,0.23764369093277238,0.929
2,mlp-lr0.01-bs32,0.18140461280571138,0.9195
3,mlp-lr0.01-bs32,0.14434980386940782,0.9305
4,mlp-lr0.01-bs32,0.14617462696973427,0.941
5,mlp-lr0.01-bs32,0.14416301021924233,0.934
6,mlp-lr0.01-bs32,0.1379149691286633,0.9335
7,mlp-lr0.01-bs32,0.12741923075394584,0.938
8,mlp-lr0.01-bs32,0.13654765021003537,0.9405
9,mlp-lr0.01-bs32,0.12862214126705582,0.929
10,mlp-lr0.01-bs32,0.11765088225292301,0.931
11,mlp-lr0.01-bs32,0.11363077397055477,0.914
12,mlp-lr0.01-bs32,0.10833662563981152,0.929
13,mlp-lr0.01-bs32,0.10430824100236366,0.935
14,mlp-lr0.01-bs32,0.11772998630980176,0.935
15,mlp-lr0.01-bs32,0.11066251233777884,0.9365
16,mlp-lr0.01-bs32,0.12142619123393422,0.9235
17,mlp-lr0.01-bs32,0.10501264895659954,0.933
18,mlp-lr0.01-bs32,0.1191450253376438,0.935
19,mlp-lr0.01-bs32,0.11619801299881763,0.9375
